,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
11579,Aron Baynes,TOR,34.0,208.28,117.93392,Washington State,Australia,Undrafted,Undrafted,Undrafted,53,6.1,5.2,0.9,-4.4,0.08199999999999999,0.192,0.157,0.503,0.07,2020-21
11580,Armoni Brooks,HOU,23.0,190.5,88.45044,Houston,USA,2019,Undrafted,Undrafted,20,11.2,3.4,1.5,-11.7,0.017,0.11199999999999999,0.175,0.565,0.09,2020-21
11581,Bobby Portis,MIL,26.0,208.28,113.398,Arkansas,USA,2015,1,22,66,11.4,7.1,1.1,5.1,0.085,0.22899999999999998,0.20199999999999999,0.598,0.075,2020-21
11582,De'Anthony Melton,MEM,23.0,187.96,90.7184,Southern California,USA,2018,2,46,52,9.1,3.1,2.5,6.0,0.026000000000000002,0.11800000000000001,0.18899999999999997,0.568,0.172,2020-21
11583,James Johnson,NOP,34.0,200.66,108.86208,Wake Forest,USA,2009,1,16,51,7.2,3.5,1.9,-5.0,0.028999999999999998,0.131,0.166,0.51,0.134,2020-21
11584,DeAndre' Bembry,TOR,26.0,195.58,95.25432,St. Joseph's (PA),USA,2016,1,21,51,5.7,2.9,2.1,0.4,0.033,0.11199999999999999,0.142,0.57,0.157,2020-21
11585,Ignas Brazdeikis,ORL,22.0,198.12,100.243832,Michigan,Canada,2019,2,47,13,7.0,3.5,1.3,-4.3,0.040999999999999995,0.129,0.171,0.51,0.1,2020-21
11586,Henry Ellenson,TOR,24.0,208.28,108.86208,Marquette,USA,2016,1,18,2,7.5,6.0,2.5,10.6,0.061,0.205,0.16699999999999998,0.47600000000000003,0.20800000000000002,2020-21
11587,Hassan Whiteside,SAC,32.0,213.36,120.20188,Marshall,USA,2010,2,33,36,8.1,6.0,0.6,-8.1,0.109,0.26899999999999996,0.22699999999999998,0.5660000000000001,0.057999999999999996,2020-21
11588,Harry Giles III,POR,23.0,210.82,108.86208,Duke,USA,2017,1,20,38,2.8,3.5,0.8,-10.4,0.079,0.254,0.154,0.496,0.125,2020-21
11589,Harrison Barnes,SAC,29.0,203.2,102.0582,North Carolina,USA,2012,1,7,58,16.1,6.6,3.5,-1.8,0.031,0.152,0.16899999999999998,0.626,0.128,2020-21
11590,Hamidou Diallo,DET,22.0,195.58,91.625584,Kentucky,USA,2018,2,45,52,11.6,5.2,1.9,-8.6,0.046,0.161,0.218,0.541,0.133,2020-21
11591,Greg Whittington,DEN,28.0,203.2,95.25432,Georgetown,USA,Undrafted,Undrafted,Undrafted,4,0.0,0.0,0.0,33.3,0.0,0.0,0.10300000000000001,0.0,0.0,2020-21
11592,Grayson Allen,MEM,25.0,193.04,89.811216,Duke,USA,2018,1,21,50,10.6,3.2,2.2,0.5,0.013999999999999999,0.106,0.16399999999999998,0.586,0.11599999999999999,2020-21
11593,Grant Williams,BOS,22.0,198.12,107.047712,Tennessee,USA,2019,1,22,63,4.7,2.8,1.0,-1.9,0.04,0.113,0.12,0.546,0.079,2020-21
11594,Grant Riller,CHA,24.0,187.96,86.18248,College of Charleston,USA,2020,2,56,7,2.6,0.1,0.4,-5.4,0.0,0.04,0.22,0.75,0.3,2020-21
11595,Gorgui Dieng,SAS,31.0,208.28,114.30518400000001,Louisville,Senegal,2013,1,21,38,6.8,3.7,1.3,-6.7,0.068,0.18100000000000002,0.16899999999999998,0.67,0.13,2020-21
11596,Gordon Hayward,CHA,31.0,200.66,102.0582,Butler,USA,2010,1,9,44,19.6,5.9,4.1,0.7,0.024,0.14300000000000002,0.235,0.584,0.18899999999999997,2020-21
11597,Goran Dragic,MIA,35.0,190.5,86.18248,None,Slovenia,2008,2,45,50,13.4,3.4,4.4,1.5,0.019,0.107,0.239,0.552,0.26,2020-21
11598,Goga Bitadze,IND,21.0,210.82,113.398,None,Georgia,2019,1,18,45,5.1,3.3,0.8,-0.8,0.095,0.14800000000000002,0.16899999999999998,0.523,0.087,2020-21
11599,Glenn Robinson III,SAC,27.0,198.12,100.697424,Michigan,USA,2014,2,40,23,5.3,2.0,0.9,-17.3,0.027999999999999997,0.094,0.135,0.5539999999999999,0.075,2020-21
11600,Giannis Antetokounmpo,MIL,26.0,210.82,109.769264,None,Greece,2013,1,15,61,28.1,11.0,5.9,9.8,0.048,0.264,0.32,0.633,0.282,2020-21
11601,Georges Niang,UTA,28.0,200.66,104.32616,Iowa State,USA,2016,2,50,72,6.9,2.4,0.8,14.6,0.024,0.11699999999999999,0.16899999999999998,0.602,0.071,2020-21
11602,George Hill,PHI,35.0,193.04,85.275296,Indiana-Purdue Indianapolis,USA,2008,1,26,30,8.7,2.0,2.4,-0.4,0.023,0.063,0.161,0.596,0.156,2020-21
11603,Gary Trent Jr.,TOR,22.0,195.58,94.800728,Duke,USA,2018,2,37,58,15.3,2.6,1.4,-1.8,0.013999999999999999,0.069,0.204,0.534,0.067,2020-21
11604,Gary Payton II,GSW,28.0,190.5,88.45044,Oregon State,USA,Undrafted,Undrafted,Undrafted,10,2.5,1.1,0.1,2.2,0.051,0.17600000000000002,0.153,0.847,0.037000000000000005,2020-21
